"","date","itu","deaths"
"1",2020-03-01,NA,0
"2",2020-03-02,NA,0
"3",2020-03-03,NA,0
"4",2020-03-04,NA,0
"5",2020-03-05,NA,0
"6",2020-03-06,NA,1
"7",2020-03-07,NA,0
"8",2020-03-08,NA,1
"9",2020-03-09,18,1
"10",2020-03-10,21,2
"11",2020-03-11,38,1
"12",2020-03-12,46,0
"13",2020-03-13,73,4
"14",2020-03-14,104,0
"15",2020-03-15,NA,11
"16",2020-03-16,NA,14
"17",2020-03-17,157,20
"18",2020-03-18,204,5
"19",2020-03-19,NA,43
"20",2020-03-20,319,41
"21",2020-03-21,436,33
"22",2020-03-22,538,56
"23",2020-03-23,600,48
"24",2020-03-24,661,54
"25",2020-03-25,779,87
"26",2020-03-26,860,41
"27",2020-03-27,1096,115
"28",2020-03-28,1201,181
"29",2020-03-29,1346,260
"30",2020-03-30,NA,209
